cell no.,A,B,C,D,E,F,G,H,I,size
510004,0.484778982,1.527135333,1.423545803,1.174034111,0.258842444,1.029354749,0.784688995,0.615347722,1.52042007,medium
510006,1.009663759,0.49650872,1.889723703,0.896517681,2.06227652,0.989285714,1.29117175,1.583464567,1.050226718,medium
510010,2.340446359,0.853032802,1.151015228,1.048707413,0.925760756,1.207140833,1.164355864,1.356814701,0.676740862,medium
510011,1.304087423,0.679664067,1.083791653,0.663636364,0.958507963,1.191954526,1.112971698,1.553060679,0.655897169,medium
510012,0.974223213,1.125784753,1.384181568,0.893295003,1.020781638,1.190076336,0.928865593,1.005329154,1.457633588,medium
510013,0.886145405,1.03349507,0.533430233,1.024513254,1.141734575,1.082196572,1.301509434,0.932098765,1.12530886,medium
510014,0.627235084,1.33213709,0.845265066,1.508674532,1.308275959,0.653420685,0.531322506,0.540647606,1.004229908,medium
510017,0.991374564,0.791731339,1.561939268,0.945120721,0.778014487,1.530136099,0.880090865,0.830649855,1.117135343,medium
510018,0.555917938,0.481474671,1.171485457,1.063432836,1.061382598,1.079108125,0.833484163,1.709102091,0.997837504,medium
510020,0.921432049,0.811835561,1.367908941,1.010841394,0.838790932,1.051905921,0.939369442,0.96350365,0.907600596,medium
510021,0.893049336,0.802753734,0.990119972,0.983193689,0.976481656,1.002898551,0.963391137,1.017699115,1.003988036,medium
510024,1.022660177,0.887919115,1.05948898,1.034486206,0.947580645,1.061,0.962927757,0.954759661,1.008964143,medium
510025,1.047735618,1.03512476,0.670224847,1.510662919,0.53508316,1.023159636,0.412094557,0.373805509,1.490618661,medium
510028,1.694095477,0.857429048,0.550997365,2.428421053,0.978165939,1.457746479,0.851674641,1.189393939,1.218604651,medium
510029,0.958396044,1.166181437,0.817033976,1.102437117,0.981327049,1.004752852,0.828236696,0.695791659,1.01634049,medium
510040,1.256259503,0.613028903,0.823446769,0.855780574,0.996172249,0.975276382,0.868273092,0.854665072,1.186587771,medium
510041,1.463061323,1.462371642,0.968741278,1.025316456,1.195359281,0.812174237,0.827674897,0.930758988,1.091128546,medium
510042,1,0.932591315,0.85146567,1.117672414,0.676810712,0.943162945,0.991540429,0.889206066,1.95171163,medium
510051,1.25361347,0.920907962,2.20622665,0.902107184,0.84476461,1.051641875,1.167251835,1.269137303,1.36801676,medium
510054,0.768451992,2.65154601,1.024325626,1.546157813,0.839565742,0.982772765,0.934027778,1.022872827,0.980856882,medium
510055,0.857427966,0.778080327,1.027853881,0.907983762,0.989339019,1.049568966,0.98859875,1.031363088,0.914334182,medium
510065,0.933373259,1.029639363,2.157305699,1.27718254,1.897375505,1.666324435,1.719199179,1.542591637,0.626417895,medium
510066,1.089003436,0.341920095,1.312254377,0.930268918,1.19488978,1.4235361,1.662804878,1.135885167,0.841242938,medium
510068,3.560832313,1.136048333,1.163770795,3.278624192,2.096666667,1.052481692,1.317757009,1.479711142,1.416158276,medium
510070,0.62992126,0.969546742,1.13345521,1.025145068,1.183152521,1.041237113,1.21422731,0.719626168,0.840060929,medium
510072,1.627326947,1.251300149,3.133119925,1.434223876,0.917592051,1.035981647,1.259259259,1.277676951,0.905158517,medium
510075,1.029567854,1.062631106,0.859582543,5.308982267,0.741726373,1.06369248,1.088176353,1.188077496,0.841985816,medium
510080,0.997649336,1.051262549,1.555263158,1.079927488,9.140561224,1.955376737,1.559792972,1.685473411,0.985443466,medium
510082,1.017736046,1.050342131,1.251432938,1.651800554,4.093886463,1.032570139,0.297988388,0.763602989,2.631728717,medium
510088,1.011368605,1.027838667,0.911971831,0.966890283,1.324149109,1.080552538,1.278725998,1.042934121,1.174378516,medium
510090,0.918929182,0.945454545,0.649151172,1.21601666,2.832682844,4.375191424,6.50997249,4.245249729,0.909951325,medium
510091,0.997287968,1.177246702,0.794013461,1.895314286,1.611954688,1.170232344,3.368091036,1.090330789,0.980606061,medium
510096,1.047050562,1.166783708,0.93761302,4.10042735,0.28308958,1.048679245,0.817640882,0.813930013,3.768728629,medium
510098,0.968662301,1.177354709,0.977205154,1.342117219,3.362810707,3.964199323,1.630830742,2.59457478,1.472638681,medium
510114,0.988584967,0.909110867,1.101190476,0.989492119,1.185010791,0.996510952,1.023666093,0.953902889,1.079885195,medium
510116,0.957245115,1.155048077,1.387272727,1.03447619,3.482666667,1.360961721,1.401201602,1.340007025,0.908567315,medium
510117,1.025133814,1.183296917,1.469026549,1.218853256,4.015304461,1.425380711,1.413124787,1.208868895,0.938650307,medium
510118,0.999404052,1.005606801,1.038858049,1.187731979,1.792108148,1.815012651,1.71641791,1.704637681,0.717462932,medium
510122,1.163500134,1.051843091,0.996577296,0.761400949,5.090240765,0.736507507,0.932511848,0.904567989,0.979022363,medium
510123,0.9662868,1.039581438,0.821618037,1.101131071,1.072014585,7.325676365,1.5,1.606826802,1.817583269,medium
510124,0.861035677,1.176596158,1.249496614,1.247424544,1.604544568,0.619886951,0.50292701,0.687344029,1.008987418,medium
510128,1.006427305,1.093840985,0.702386312,0.963754836,4.616830797,1.523076923,1.233260666,3.046707752,0.922978587,medium
510132,0.909777015,0.933124347,1.023087526,1.583951015,1.088214322,1.005203406,0.965257532,0.8782988,1.015520037,medium
510134,1.077646006,0.963369963,1.006268657,1.047019622,1.001366898,0.506313275,0.634469286,0.778809998,1.019256605,medium
510137,0.975979365,0.905440839,1.154417414,1.057088031,1.918723115,1.134394125,1.108256008,1.162888122,1.046296296,medium
510141,0.958044383,0.826900585,1.106988473,5.221877643,1.214579055,1.272330097,1.179271709,1.13170519,1.026821636,medium
510145,0.900248344,0.596322242,0.854519774,3.694265233,0.811059908,1.1682044,1.037630104,0.957561728,1.02095672,medium
510148,0.988750502,1.017305315,1.10212558,1.583508705,1.74473599,0.777670091,0.978468368,0.77222524,1.085542929,medium
510150,0.906643952,0.963695245,0.451848572,1.601663765,1.084805654,1.019885714,0.642421398,0.884224966,1.191312384,medium
510154,1,1.076539974,0.861690838,0.939969313,1.316356131,2.458200684,0.710741156,0.694956078,1.522990654,medium
510155,0.895295025,0.926287625,1.029225908,1.304852321,1.756711297,0.694109542,0.907428062,0.773742434,0.891767513,medium
510156,0.973164957,0.587092187,0.86348893,0.901146072,1.939207897,0.856802254,0.630958183,0.722447836,1.328375507,medium
510158,0.884093711,1.153560141,1.014326648,1.043718593,2.652568398,0.941209096,0.755523097,0.878646859,0.949905644,medium
510162,1.010558339,0.898110411,1.41554559,1.01242485,0.668184776,1.112104949,1.50310559,1.398399015,0.98093269,medium
510164,0.999485773,0.876818623,0.951084449,2.527448477,0.257672927,0.899851852,0.769626035,0.974780993,1.16694725,medium
510165,1.069723912,1.042168675,1.207726409,4.142995403,1.212287105,1.081232493,1.007879186,1.061764706,1.117291066,medium
510168,0.907627342,0.926512594,1.009618467,6.956379753,1.2945,1.981550969,1.134713471,1.10966811,1.975643024,medium
510169,1.072774717,1.063005297,0.923609023,0.906459394,0.915195702,0.992015968,0.604751216,1.499082569,2.717387338,medium
510171,1.025664528,0.986899563,1.051428571,0.996389892,0.945439799,0.932067202,1.504122767,0.812342897,1.055788152,medium
510172,1.040252565,1.194382853,1.049603175,6.798100743,0.225544738,0.979054458,0.910733844,0.893146249,1.919855921,medium
510179,0.995948136,1.102432778,1.333333333,1.192794174,3.381244323,1.010253906,1.075494165,0.915533129,0.951460886,medium
510184,0.993933464,1.028527666,0.857824934,3.430776319,1.129505664,1.259755734,2.23837535,1.52195734,2.167942963,medium
510191,0.963356428,0.943298969,0.946502058,1.965484026,2.493055556,1.010401189,0.822033898,0.940226171,0.929976397,medium
510192,1.094567404,0.720152818,0.788046827,2.84296843,1.182077393,1.057217165,0.884536924,0.922302738,0.818514007,medium
510199,1.358853634,1.120341453,1.245430108,0.969204927,0.650128519,0.622065728,0.494430163,0.536447039,1.578613861,medium
510203,1.039272307,1.13182158,0.978629329,2.975118483,1.13673957,1.583953488,0.958097686,0.946303502,1.882401091,medium
510207,0.994430521,0.930960086,0.696984799,0.995100128,7.586217898,0.200171881,0.749242883,0.646274344,0.971958763,medium
510208,1.076057847,1.012537729,1.388072602,1.190556088,3.581227437,0.414731089,1.577335984,1.636980831,1.019776715,medium
510221,1.039561355,0.982982673,0.637704265,1.320260471,0.558946101,1.079637799,0.329633325,0.303556993,1.877848525,medium
510227,1.197640728,1.41961478,0.891392801,1.215056594,1.198758452,0.714175158,0.571502591,0.808626033,1.010251153,medium
510228,1.16374801,1.215442878,1.087630725,0.936232736,9.559300341,0.830958799,0.907807876,1.088576528,1.056792873,medium
510230,0.689098011,1.279760206,1.222088353,0.937085335,0.998280098,0.99201703,0.761474793,0.711997966,0.45312399,medium
510001,1.008009968,0.947238565,1.303463855,0.90040107,0.909372846,1.02758216,1.166134185,1.238666667,1.015817223,medium
510005,1.008726179,0.666701571,1.339037433,1.646244851,1.339622642,1.137837838,0.984082397,1.475813544,1.378210261,medium
510007,3.635395875,1.210993658,0.913090909,0.685789865,2.417450813,1.199757502,2.053003534,2.3928,0.800344234,medium
510009,0.684885975,1.124716553,1.233664185,0.927557111,1.092879257,0.984879032,0.994897959,0.887245841,0.975635593,medium
510016,1.035399088,0.878387981,1.835167648,1.015905109,2.097301406,1.134323019,1.060655738,1.143130501,0.933995448,medium
510019,1.655301012,2.433634162,1.551734274,1.514857143,1.270766259,1.051136364,1.067400734,1.041208791,1.022550832,medium
510039,1.008009968,0.947238565,1.303463855,0.90040107,0.909372846,1.02758216,1.166134185,1.238666667,1.015817223,medium
510047,1.079377585,0.968108877,1.244039879,1.151099455,1.008693214,0.969140951,1.21268539,1.261181848,1.239815799,medium
510049,1.008009968,0.947238565,1.303463855,0.90040107,0.909372846,1.02758216,1.166134185,1.238666667,1.015817223,medium
