cell,V1,V2,V3,V4,V5,V6,V7,V8,V9,class
510038,0.239473684,2.626760563,1.453125,0.991596639,1.19266055,1.509259259,1.089108911,0.861788618,0.814204545,small
510039,1.008009968,0.947238565,1.303463855,1.103463855,0.909372846,1.22758216,1.166134185,1.238666667,1.815817223,medium
510040,1.256259503,0.613028903,0.823446769,0.623446769,0.996172249,1.175276382,0.868273092,0.854665072,1.986587771,medium
510041,1.463061323,1.462371642,0.968741278,0.768741278,1.195359281,1.012174237,0.827674897,0.930758988,1.891128546,medium
510042,1,0.932591315,0.85146567,0.65146567,0.676810712,1.143162945,0.991540429,0.889206066,2.75171163,medium
510043,0.77157269,1.123544014,0.819508635,1.122177419,1.05821628,1.497426218,0.843305332,1.860269914,1.301686625,small
510044,2.909395973,3.937829294,3.14677983,2.8955,1.252918288,1.445674044,0.816148776,0.261281297,1.408059342,small
510045,1.315444788,1.577149213,1.158515342,1.579184704,1.01130695,1.527478862,0.937779506,0.84432269,1.327697075,small
510046,1.401105129,1.427383462,1.750306185,1.529968969,1.00924795,1.348600267,0.936063061,0.895140149,1.282920225,small
510047,1.079377585,0.968108877,1.244039879,1.044039879,1.008693214,1.169140951,1.21268539,1.261181848,2.039815799,medium
510048,0.906245803,0.871240602,1.058797622,0.937284036,0.78140607,1.543067227,1.193353474,0.838804508,1.230851064,small
510049,1.008009968,0.947238565,1.303463855,1.103463855,0.909372846,1.22758216,1.166134185,1.238666667,1.815817223,medium
510050,1.710060887,0.786205367,1.280259366,1.080259366,1.013579576,1.206699147,1.208333333,1.302083333,2.891380428,medium
510051,1.25361347,0.920907962,2.20622665,2.00622665,0.84476461,1.251641875,1.167251835,1.269137303,2.16801676,medium
510052,1.994182548,0.854676551,1.377398721,1.260467748,1.304713805,1.713461538,0.759459459,0.867558528,1.105576488,small
510053,1.10424503,0.260204082,3.989276139,2.089696071,1.044034091,0.962909091,0.797857143,0.863214838,1.015151515,large
510054,0.768451992,2.65154601,1.024325626,0.824325626,0.839565742,1.182772765,0.934027778,1.022872827,1.780856882,medium
